Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2024-08-01,217.62855529785156,327.9171447753906,184.07000732421875,246.63131713867188,178.30999755859375,327.5494689941406,251.97946166992188,46.402462005615234,147.76771545410156,92.63951110839844,492.28668212890625,352.31231689453125,201.39212036132812,185.31082153320312,157.0220947265625,204.37254333496094,66.49845123291016,264.07281494140625,124.51222229003906,111.20498657226562,414.6962585449219,72.78032684326172,109.18309783935547,162.70895385742188,348.2724914550781,209.389892578125,566.1459350585938,264.4491882324219,38.89702606201172,69.24763488769531
2024-08-02,219.12355041503906,326.4120788574219,167.89999389648438,230.36642456054688,169.9499969482422,317.0269775390625,242.9282684326172,45.68767166137695,143.82711791992188,89.17485809326172,463.26849365234375,349.2174072265625,200.51600646972656,184.78318786621094,160.32350158691406,195.70468139648438,67.8389892578125,271.8746337890625,123.30126190185547,112.55328369140625,406.12615966796875,72.93801879882812,107.24356079101562,167.0199737548828,345.1612854003906,211.8387908935547,583.0086059570312,265.0955505371094,39.011295318603516,67.92796325683594
2024-08-05,208.56903076171875,317.841064453125,161.02000427246094,224.05882263183594,167.02999877929688,313.0057373046875,237.9894256591797,43.80768585205078,140.06080627441406,87.39275360107422,451.8304443359375,343.89215087890625,196.59800720214844,179.10643005371094,157.50070190429688,191.53782653808594,66.63543701171875,263.7780456542969,122.68102264404297,109.72968292236328,392.8633728027344,70.38552856445312,100.42524719238281,165.03631591796875,337.0503845214844,205.99305725097656,563.368408203125,255.01205444335938,37.8972282409668,67.0647201538086
2024-08-06,206.53585815429688,321.4864501953125,161.92999267578125,229.2159881591797,165.0399932861328,322.5303039550781,237.40196228027344,44.21893310546875,138.67625427246094,89.5730972290039,462.85504150390625,347.7239685058594,195.7021942138672,182.5164031982422,155.27371215820312,196.88397216796875,66.58651733398438,265.3600158691406,122.95668029785156,108.59632873535156,397.29754638671875,71.44989013671875,104.22431182861328,165.06578063964844,342.05010986328125,205.6671905517578,561.7770385742188,256.82196044921875,38.33523178100586,67.21356201171875
2024-08-07,209.11717224121094,305.40966796875,162.77000427246094,226.9151153564453,163.24000549316406,321.89794921875,239.01504516601562,44.17976379394531,137.88232421875,85.5807876586914,465.6013488769531,336.4151306152344,194.83590698242188,182.5164031982422,155.20535278320312,196.94293212890625,66.9876937866211,264.6820068359375,120.92857360839844,109.9055404663086,396.1243896484375,71.56814575195312,98.88563537597656,166.9610595703125,337.6666564941406,206.74351501464844,559.5333251953125,255.0915985107422,38.354278564453125,66.3900146484375
2024-08-08,212.59548950195312,317.3230895996094,165.8000030517578,231.6160430908203,168.8699951171875,332.1338806152344,248.0562744140625,44.874969482421875,139.8961944580078,85.5807876586914,478.1614685058594,342.2513122558594,196.706298828125,188.19317626953125,156.49464416503906,200.539794921875,67.25189208984375,266.4703063964844,123.19296264648438,111.30268859863281,400.3597412109375,73.11540985107422,104.94413757324219,167.79576110839844,340.6485900878906,209.02452087402344,559.6914672851562,258.3831481933594,38.58280563354492,67.1341781616211
2024-08-09,215.51568603515625,315.1730041503906,166.94000244140625,235.8905487060547,167.91000366210938,334.2087707519531,251.4517059326172,44.5224723815918,140.3802947998047,85.82968139648438,482.5811767578125,342.5461120605469,195.1410675048828,188.69583129882812,156.8853302001953,202.2498016357422,67.20296478271484,263.2474365234375,122.2478256225586,111.91822814941406,403.6704406738281,73.26322937011719,104.72418975830078,167.47169494628906,343.5610046386719,209.8144989013672,552.2979125976562,258.8315734863281,38.80181121826172,67.42192077636719
2024-08-12,217.0522918701172,312.739501953125,166.8000030517578,235.09713745117188,164.1300048828125,332.00543212890625,250.23690795898438,43.92518615722656,140.40936279296875,85.5708236694336,477.8957214355469,339.7655334472656,193.72349548339844,186.75418090820312,156.1625518798828,202.63307189941406,66.70393371582031,264.7704162597656,121.45036315917969,110.872802734375,404.4559020996094,73.55889129638672,108.9931411743164,163.8087921142578,341.1753845214844,207.0989990234375,558.7523803710938,258.9610900878906,38.59232711791992,68.16609954833984
2024-08-13,220.78407287597656,316.1112365722656,170.22999572753906,237.0211639404297,168.75999450683594,334.7422790527344,253.5128936767578,44.424556732177734,139.56700134277344,85.22237396240234,484.2348327636719,343.9510803222656,193.66445922851562,188.24246215820312,154.7071990966797,204.35289001464844,66.9876937866211,265.60565185546875,123.40956115722656,111.76189422607422,411.6142272949219,77.36298370361328,116.11138153076172,164.28018188476562,346.98028564453125,208.23458862304688,567.598876953125,259.2002258300781,38.83037567138672,67.60052490234375
2024-08-14,221.23309326171875,315.4075622558594,170.10000610351562,241.75186157226562,168.5,333.5467834472656,254.2298126220703,44.493099212646484,140.07046508789062,85.9192886352539,490.88897705078125,349.443359375,194.52088928222656,189.55332946777344,154.79510498046875,206.61322021484375,67.10511779785156,266.4310302734375,124.21686553955078,110.97050476074219,414.4477233886719,77.3826904296875,118.05091094970703,165.76300048828125,350.0318298339844,211.40431213378906,572.966064453125,260.2066650390625,38.94464111328125,68.12641143798828
